,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6255,37.9781,23.72422,1.0,1.0,1.0,2.0,365.0,4.86,4.9,4.86,4.87,4.78,4.9,4.94,2.42
6256,37.970354,23.7094227,1.0,1.0,1.0,1.7,5.0,4.88,5.0,5.0,4.88,5.0,4.88,4.88,0.27
6257,37.97775,23.72853,1.0,1.0,1.0,1.0,365.0,4.83,4.83,5.0,5.0,5.0,4.67,4.67,0.2
6258,37.99503,23.7267,1.0,1.0,1.0,2.0,365.0,4.8,4.86,4.84,4.9,4.9,4.24,4.86,3.44
6259,38.00381,23.72065,1.0,1.0,3.0,1.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6260,37.9925485,23.7266055,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6261,37.9634967,23.7294693,1.0,1.0,1.0,2.0,28.0,4.95,4.98,4.94,4.95,5.0,4.88,4.88,2.94
6262,37.9800009,23.7266176,1.0,1.0,2.0,2.0,28.0,4.89,4.9,4.93,4.91,4.95,4.84,4.88,6.27
6263,37.9890114,23.7354497,1.0,1.0,1.0,1.0,1125.0,4.8,4.78,4.92,4.9,4.95,4.65,4.72,2.07
6264,37.9843149,23.7589588,1.0,1.0,4.0,3.3,60.0,4.33,4.44,4.33,4.56,4.89,5.0,4.22,0.39
6265,37.97194,23.74611,1.0,1.0,2.0,2.0,365.0,4.69,4.64,4.63,4.77,4.65,4.8,4.56,2.73
6266,38.0112323,23.7371355,1.0,1.0,2.0,1.0,365.0,4.8,4.73,4.92,4.92,4.92,4.37,4.71,1.67
6267,37.980188,23.7096095,2.0,2.0,2.0,4.1,20.0,4.98,4.97,5.0,4.98,5.0,4.82,4.97,2.12
6268,37.9669785,23.7059054,1.0,1.0,2.0,2.3,1125.0,5.0,4.8,4.6,5.0,5.0,5.0,5.0,0.17
6269,37.96538631358145,23.729541389682204,2.0,3.0,4.0,2.0,1125.0,4.94,4.94,4.91,4.96,4.96,4.94,4.96,1.87
6270,37.9665617,23.7266752,1.0,2.0,3.0,2.0,730.0,5.0,5.0,5.0,5.0,4.93,5.0,4.87,0.52
6271,37.99197,23.72672,1.0,1.0,1.0,1.0,1125.0,4.96,4.96,4.97,5.0,4.96,4.66,4.91,2.38
6272,38.0112188,23.7391802,1.0,2.0,2.0,1.0,1125.0,4.72,4.72,4.63,4.8,4.84,4.51,4.68,5.42
6273,37.99325,23.75134,1.0,1.0,2.0,2.0,365.0,5.0,5.0,4.8,5.0,5.0,5.0,5.0,0.17
6274,37.99210894657047,23.7481710232788,1.0,1.0,1.0,7.0,100.0,5.0,5.0,4.96,5.0,4.96,4.79,4.93,0.98
